Category,Case number,Crime date and time,Report date,Location,Incident Description,Residential occurrence,Disposition
Alcohol Intoxication,CSA20181565,11/01/2018 - 1:00am,11/01/2018,705 SPORTS CENTER DRIVE - INGLES HALL,ALCOHOL INTOXICATION,Yes,Closed - CSA
Drug Violations,20182012,10/31/2018 - 12:45am,10/31/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,DRUG PARAPHERNALIA - BUY/POSSESS,Yes,Closed
DUI,20182013,10/31/2018 - 1:44am,10/31/2018,EAST MAXWELL STREET BETWEEN HAGERMAN COURT & STONE AVENUE,"OPERATE MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC..08 AGGRAVATED CIRCUMSTANCES, 2ND; IMPROPER LANE USAGE-VEHICLES KEEP TO RIGHT EXCEPT TO PASS",No,Cleared By Arrest
All Other Offenses,20182014,10/31/2018 - 12:06pm,10/31/2018,160 AVENUE OF CHAMPIONS - STUDENT CENTER,"INDECENT EXPOSURE, 2ND DEGREE",No,Cleared By Arrest
Assault,201824087,10/31/2018 - 11:45pm,10/31/2018,207 EAST MAXWELL STREET,ASSAULT 4TH,No,Closed
Drug Violations,201824041,10/31/2018 - 1:19pm,10/31/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,POSSESSION OF CONTROLLED SUBSTANCE,No,Closed
Drug Violations,201824066,10/31/2018 - 8:00pm,10/31/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,POSSESSION OF CONTROLLED SUBSTANCE - UNKNOWN SUBSTANCE,No,Closed
Theft,20182015,10/31/2018 - 7:30am,10/31/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,THEFT BY UNLAWFUL TAKING - FROM BUILDING UNDER $500,No,Closed
Criminal Mischief,20182017,10/30/2018 - 8:00pm,10/31/2018,160 AVENUE OF CHAMPIONS - STUDENT CENTER PARKING LOT,CRIMINAL MISCHIEF 3RD DEGREE,No,Open
Theft,20182019,10/31/2018 - 2:45pm,10/31/2018,550 SOUTH LIMESTONE STREET - BIKE RACK,THEFT BY UNLAWFUL TAKING - BICYCLES UNDER $500,No,Closed
Drug Violations,CSA20181564,10/31/2018 - 9:15pm,10/31/2018,685 SPORTS CENTER DRIVE - WOODLAND GLEN III,DRUG VIOLATION ALLEGATION - MARIJUANA,Yes,Closed - CSA
Drug Violations,CSA20181563,10/31/2018 - 6:15pm,10/31/2018,701 SPORTS CENTER DRIVE - BALDWIN HALL,DRUG VIOLATION ALLEGATION - MARIJUANA,Yes,Closed - CSA
Harassment,CSA20181562,10/31/2018 - 12:52pm,10/31/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Drug Violations,20182006,10/30/2018 - 1:28pm,10/30/2018,1540 UNIVERSITY DRIVE - RED LOT,DRUG PARAPHERNALIA-BUY/POSSESS; POSSESSION OF OPEN ALCOHOLIC BEVERAGE CONTAINER IN MOTOR VEHICLE PROHIBITED,No,Citation issued
Assault,CSA20181561,10/30/2018 - 5:37pm,10/30/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20181560,10/30/2018 - 12:02pm,10/30/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Theft,20182018,10/30/2018 - 4:30pm,10/30/2018,800 ROSE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING - ALL OTHERS UNDER $500,No,Closed
Alcohol Intoxication,CSA20181498,10/19/2018 - 12:40am,10/29/2018,650 WOODLAND AVENUE - WOODLAND GLEN II,ALCOHOL INTOXICATION,Yes,Closed - CSA
Theft,20181994,10/27/2018 - 12:51pm,10/29/2018,110 TRANSCRIPT AVENUE - PARKING STRUCTURE #8,"THEFT BY UNLAWFUL TAKING CONTENTS FROM VEHICLE $500 OR MORE BUT UNDER $10,000",No,Open
Harassment,CSA20181537,10/26/2018 - 3:00pm,10/29/2018,430 COMPLEX DRIVE - JOHNSON CENTER,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Theft,20182001,10/29/2018 - 7:45am,10/29/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING - FROM BUILDING UNDER $500,No,Closed
Theft,20182004,10/29/2018 - 4:55pm,10/29/2018,160 AVENUE OF CHAMPIONS - STUDENT CENTER,THEFT BY UNLAWFUL TAKING - SHOPLIFTING UNDER $500,No,Cleared By Arrest
Harassment,CSA20181559,10/29/2018 - 12:00am,10/29/2018,300 ALUMNI DRIVE - GREG PAGE APARTMENTS,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Harassment,CSA20181558,10/29/2018 - 4:27pm,10/29/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Liquor Law Violation,CSA20181557,10/28/2018 - 11:40pm,10/29/2018,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X6,Yes,Closed - CSA
Terroristic Threatening,LPD201800210506,10/29/2018 - 12:28pm,10/29/2018,2201 REGENCY ROAD - CONURSING,"TERRORISTIC THREATENING, 3RD DEGREE",No,Closed - Lexington Police Report
Criminal Trespass,20181998,10/28/2018 - 7:18pm,10/28/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL TRESPASSING-2ND DEGREE; RESISTING ARREST,No,Cleared By Arrest
Alcohol Intoxication,20181996,10/28/2018 - 2:44am,10/28/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,No,Cleared By Arrest
Assault,CSA20181556,10/28/2018 - 6:15pm,10/28/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20181552,10/28/2018 - 9:38am,10/28/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Drug Violations,CSA20181549,10/26/2018 - 12:15pm,10/28/2018,1160 UNIVERSITY DRIVE - UNIVERSITY FLATS,DRUG VIOLATION ALLEGATION - MARIJUANA,Yes,Closed - CSA
Drug Violations,CSA20181547,10/28/2018 - 12:00am,10/28/2018,685 SPORTS CENTER DRIVE - WOODLAND GLEN III,POSSESSION OF MARIJUANA X4,Yes,Closed - CSA
Alcohol Intoxication,CSA20181542,10/28/2018 - 1:30am,10/28/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,ALCOHOL INTOXICATION; PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X2,Yes,Closed - CSA
Liquor Law Violation,CSA20181541,10/28/2018 - 11:05pm,10/28/2018,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL,Yes,Closed - CSA
Criminal Mischief,CSA20181540,10/28/2018 - 4:47pm,10/28/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF,No,Closed - CSA
Criminal Mischief,CSA20181539,10/28/2018 - 12:15am,10/28/2018,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,CRIMINAL MISCHIEF,Yes,Closed - CSA
Alcohol Intoxication,CSA20181538,10/27/2018 - 10:15pm,10/28/2018,340 HILLTOP AVENUE - JOHNSON HALL,ALCOHOL INTOXICATION,Yes,Closed - CSA
Criminal Mischief,20181997,10/27/2018 - 12:00pm,10/28/2018,404 ADMINISTRATION DRIVE - ACROSS ADMINISTRATION DRIVE FROM GILLIS BUILDING,CRIMINAL MISCHIEF 2ND DEGREE,No,Closed
